priority,species,protein_name,alternative_names,reaction_id,reaction_name,ec_number,uniprot_keywords,notes,gene_ids
HIGH,MGK,Formate dehydrogenase,['Fdh'],EX_cpd00047_e0,Formate exchange,EC:1.2.1.2 or EC:1.2.1.43,['formate dehydrogenase'],Uptakes formate - alternative substrate for methanogenesis,
HIGH,PRM,Formate dehydrogenase,['Fdh'],EX_cpd00047_e0,Formate exchange,EC:1.2.1.2 or EC:1.2.1.43,['formate dehydrogenase'],Produces formate - feeds methanogen,
HIGH,RFL,Formate dehydrogenase,['Fdh'],EX_cpd00047_e0,Formate exchange,EC:1.2.1.2 or EC:1.2.1.43,['formate dehydrogenase'],Produces formate - feeds methanogen,
MEDIUM,MGK,Acetate kinase,['Ack'],EX_cpd00029_e0,Acetate exchange,EC:2.7.2.1,['acetate kinase'],Acetate metabolism - affects carbon flow,
MEDIUM,PRM,Acetate kinase,['Ack'],EX_cpd00029_e0,Acetate exchange,EC:2.7.2.1,['acetate kinase'],Acetate production - affects community carbon flow,
MEDIUM,RFL,Acetate kinase,['Ack'],EX_cpd00029_e0,Acetate exchange,EC:2.7.2.1,['acetate kinase'],Acetate production - affects community carbon flow,
MEDIUM,PRM,Cellulase / Cellulose degradation enzymes,"['Endoglucanase', 'Exoglucanase', 'Beta-glucosidase']",EX_cpd11746_e0,Cellulose exchange,"EC:3.2.1.4, EC:3.2.1.91, EC:3.2.1.21","['cellulase', 'cellulose', 'beta-glucosidase']",Cellulose degradation - primary carbon source,
MEDIUM,RFL,Cellulase / Cellulose degradation enzymes,"['Endoglucanase', 'Exoglucanase', 'Beta-glucosidase']",EX_cpd11746_e0,Cellulose exchange,"EC:3.2.1.4, EC:3.2.1.91, EC:3.2.1.21","['cellulase', 'cellulose', 'beta-glucosidase']",Cellulose degradation - primary carbon source,
MEDIUM,PRM,Glucose-6-phosphate dehydrogenase,"['G6PD', 'Zwf']",EX_cpd00027_e0,D-glucose exchange,EC:1.1.1.49,"['glucose-6-phosphate dehydrogenase', 'pentose phosphate']",Glucose metabolism - central carbon pathway,
MEDIUM,RFL,Glucose-6-phosphate dehydrogenase,"['G6PD', 'Zwf']",EX_cpd00027_e0,D-glucose exchange,EC:1.1.1.49,"['glucose-6-phosphate dehydrogenase', 'pentose phosphate']",Glucose metabolism - central carbon pathway,
MEDIUM,MGK,Lanosterol synthase,['LSS'],EX_cpd01188_e0,Lanosterol exchange,EC:5.4.99.7,"['lanosterol synthase', 'sterol']",Target for L-carnitine treatment - affects cholesterol/sterol metabolism,
MEDIUM,RFL,Lanosterol synthase,['LSS'],EX_cpd01188_e0,Lanosterol exchange,EC:5.4.99.7,"['lanosterol synthase', 'sterol']",Target for L-carnitine treatment,
MEDIUM,MGK,Proline synthase / Delta-1-pyrroline-5-carboxylate synthase,['P5CS'],EX_cpd00129_e0,Proline exchange,EC:2.7.2.11 or EC:1.5.1.2,"['proline synthase', 'pyrroline', 'proline']",Target for Methyl jasmonate treatment,
MEDIUM,PRM,Proline synthase / Delta-1-pyrroline-5-carboxylate synthase,['P5CS'],EX_cpd00129_e0,Proline exchange,EC:2.7.2.11 or EC:1.5.1.2,"['proline synthase', 'pyrroline', 'proline']",Target for Methyl jasmonate treatment,
MEDIUM,MGK,Phosphopantothenate synthase,['Ppcs'],R_rxn12512_c0,Phosphopantothenate synthesis,EC:6.3.2.5,"['phosphopantothenate', 'coenzyme A']",Target for Propylpyrazine treatment - CoA biosynthesis,
MEDIUM,PRM,Phosphopantothenate synthase,['Ppcs'],R_rxn12512_c0,Phosphopantothenate synthesis,EC:6.3.2.5,"['phosphopantothenate', 'coenzyme A']",Target for Propylpyrazine treatment,
MEDIUM,RFL,Phosphopantothenate synthase,['Ppcs'],R_rxn12512_c0,Phosphopantothenate synthesis,EC:6.3.2.5,"['phosphopantothenate', 'coenzyme A']",Target for Propylpyrazine treatment,
